month,year,ninety,seventyf,mean,twentyf,ten,count
1,1897,-1.65,-2.65,-5.25,-8.9,-18.9,31
1,1896,0.55,-1.925,-6.65,-18.175,-24.45,31
1,1918,-1.4,-2.075,-7.2,-10.275,-16.95,31
1,2009,-1.25,-3.5,-5.75,-10.25,-20.5,31
1,1952,-3.05,-5.825,-9.45,-12.9,-25.3,31
1,1924,0.3,-0.825,-3.6,-7.775,-14.75,31
1,1943,-1.15,-6.525,-11.7,-26.675,-33.35,31
1,1938,-1.1,-1.8,-3.05,-6.1,-15.55,31
1,1982,-2.75,-4.375,-12.25,-18.75,-23.25,31
1,1935,3.65,-4.025,-11.4,-17.35,-28.85,31
1,1914,-0.8,-3.9,-8.05,-12.375,-17.5,31
1,1995,-1,-2.625,-4.75,-10.5,-16,31
1,1920,0,-3.6,-6.95,-14.85,-20.55,31
1,1973,-0.3,-2.1,-6.4,-17.65,-24.45,31
1,1999,-2,-3.75,-5.5,-8.25,-10.5,31
1,1970,-2.8,-4.725,-8.9,-15,-19.7,31
1,1936,0.25,-4.85,-12.25,-17.475,-18.85,31
1,1963,-1.7,-5.85,-13.6,-17.9,-21.1,31
2,2000,-1.9,-3,-5.25,-8.5,-13.55,29
2,1991,2.15,1,-0.625,-3.375,-6.125,28
2,1942,-4.34,-4.7375,-6.925,-9.175,-15.97,28
2,2004,-0.95,-1.75,-2.5,-4.5,-9.6,29
2,1923,1.175,-1.3,-3.2,-9.3125,-19.915,28
2,1888,1.44,-0.8375,-2.525,-5.3,-8.725,28
2,1915,-0.835,-2.25,-4.275,-5.0625,-7.365,28
2,1899,0.714999,-3.4875,-7.925,-15.5125,-23.26,28
2,1901,1.98,-0.275,-6.65,-13.075,-16.85,28
2,1924,1.27,-0.55,-3.3,-5,-6.95,29
2,1955,-2.5,-4.4875,-7.775,-12.9375,-18.7,28
2,1960,-2.17,-3.85,-6.65,-9.75,-15.6,29
2,1973,1.28,0.0625,-4.85,-9.2625,-11.775,28
2,1961,-0.265001,-2.4375,-4.85,-7.575,-10.75,28
2,1941,2.29,-1.0125,-3.75,-7.0875,-13.79,28
2,1900,-0.945001,-2.2,-3.625,-7.8875,-17.8,28
2,1903,0.165,-2.6625,-5,-9.0375,-11.665,28
2,1908,-1.64,-4.7,-7.25,-9.2,-11.16,29
2,1995,0.299999,-0.9375,-4.25,-12.375,-14.325,28
2,1993,2,-0.5625,-5,-12.75,-16.15,28
2,2007,-0.525001,-2.875,-4.75,-7.8125,-9,28
2,2003,-1.6,-3.1875,-4.5,-5.75,-8.825,28
2,1974,-2.035,-2.725,-4.575,-7.2125,-9.615,28
2,1892,0.55,0.55,0.55,0.55,0.55,1
2,1919,-2.97,-6.1,-8.9,-14.3625,-20.66,28
2,2010,0.625,-0.75,-3.125,-4.375,-6.125,26
2,1945,-1.575,-2.5,-5.975,-9.1125,-13.3,28
2,1978,2.875,-1.1375,-4.725,-8.8625,-11.28,28
2,1921,1.4,0,-4.3,-10.55,-12.205,28
2,1906,0.165,-1.7,-3.9,-7.2,-7.765,28
2,1982,-1.95,-4,-8.625,-11.3125,-16.15,28
2,1896,1.16,0.25,-4.15,-7.25,-9.32,29
2,1983,1.4,-0.4375,-3.125,-4.75,-8.075,28
2,1962,-1.52,-3.5375,-8.75,-14.1,-17.2,28
2,2009,-1.65,-3.625,-7.5,-10.625,-14.6,27
2,1985,-0.700001,-2.5625,-5.625,-13,-16.875,28
2,1984,0.0499997,-0.5,-2.5,-5.75,-6.5,29
2,1981,1.325,-0.3125,-2.625,-8,-9.275,28
2,2011,-2.375,-3.75,-11.5,-15.25,-20.25,26
2,1929,-2.72,-4.5875,-6.825,-14.9125,-17.445,28
2,1958,1.665,-0.4125,-3.175,-6.9375,-10.73,28
2,1898,1.44,-0.55,-1.95,-5.35,-10.31,28
2,1922,-3.435,-6.925,-11.25,-17.15,-22.235,28
2,1930,0.804999,-0.4875,-5.55,-8.7375,-12.665,28
2,1928,0.35,-1.95,-4.7,-7.5,-9.73,29
2,1946,-0.595001,-1.625,-3.725,-7.275,-10.675,28
2,1954,4.405,2.9,-4.325,-7.775,-13.975,28
2,1920,-1.89,-3.35,-5.25,-5.8,-9.2,29
2,1895,1.475,-1.375,-3.625,-7.5625,-9.14,28
2,1931,0,-1.95,-3.625,-5.0625,-6.52,28
2,1894,0.265,-1.8125,-5.55,-10.675,-16.4,28
2,1917,0.925,-0.9625,-7.05,-16.8,-20.715,28
2,1948,-3.84,-5.25,-7.75,-11.95,-16.31,29
2,1988,0.599999,-1,-3.5,-6.25,-11.1,29
2,1965,-0.220001,-4.5625,-8.025,-10,-12.38,28
2,1992,3.85,0.25,-1.75,-4.25,-8.8,29
2,1918,-2.335,-3.625,-6.4,-13.5375,-17.875,28
2,1937,-3.05,-4.075,-9.45,-16.6625,-21.19,28
2,1963,3.055,1.825,-0.125,-1.8,-3.93,28
2,1889,1.53,-0.1625,-4.85,-13.55,-17.875,28
2,1933,-2.05,-3.05,-3.75,-13.8125,-21.49,28
2,1987,1.15,-0.4375,-3,-6.5625,-8.325,28
2,1952,-1.73,-5.25,-6.4,-11.1,-13.57,29
2,1970,0.25,-0.3,-1.65,-6.3125,-7.995,28
2,1904,-3.78,-7.8,-11.15,-18.85,-22.91,29
2,1912,-1,-1.7,-3.35,-6.1,-8.98,29
2,1989,-2.375,-7.9375,-9.625,-15.3125,-20.4,28
2,1986,2.075,-2.1875,-10.625,-14.6875,-20.825,28
2,1980,1.25,-0.25,-3.25,-5.5,-10.25,29
2,1947,2.755,0.65,-5.275,-6.95,-7.965,28
2,1938,4.915,0.3875,-10.575,-15,-16.175,28
2,1926,1.44,-0.2375,-2.5,-4.875,-7.025,28
2,1976,-1.62,-3.9,-5.55,-8.35,-12.34,29
2,1959,-0.470001,-2.2375,-6.4,-12.225,-17.745,28
2,1956,-2.79,-5.55,-9.45,-14.45,-16.12,29
2,1998,0.5,-0.4375,-1.75,-3.75,-7.875,28
2,1932,3.7,1.1,-10.25,-11.65,-12.76,29
2,1934,0.879999,-0.5875,-2.5,-5.9125,-9.055,28
2,1893,-0.385,-2.075,-8.475,-15.0375,-29.95,28
2,1897,-2.245,-2.9875,-5.15,-10.3,-11.52,28
2,1913,0.375,-5.7625,-8.875,-15.3375,-17.75,28
2,1997,-0.6,-1.9375,-4,-6.625,-8.5,28
2,1890,-2.53,-3.75,-5.55,-7.725,-10.265,14
2,1957,-1.275,-4.5375,-7.35,-16.1125,-19.055,28
2,1910,-2.785,-5.8375,-9.725,-13.4,-20.675,28
2,2002,-2,-3.375,-6,-8.0625,-10.725,28
2,2006,-2.55,-5.875,-7.625,-10.75,-14.225,28
2,1994,-1.525,-4.125,-10.375,-16.0625,-19.025,28
2,1909,-1.31,-3.6375,-6.1,-9.95,-18.365,28
2,1977,4.24,1.35,-1.825,-3.7125,-5,28
2,1936,-3.68,-14.7,-20,-23.65,-28.96,29
2,1999,-2.175,-2.9375,-4.75,-7,-9.075,28
2,1953,-1.4,-3.0875,-4.875,-7.1125,-9.065,28
2,1966,-1.695,-2.9875,-4.85,-8.8125,-10.88,28
2,1891,-8.27,-9.925,-15,-18.45,-23.14,28
2,1964,-0.49,-3.1,-4.75,-6.7,-7.96,29
2,1935,-0.220001,-2.4375,-4.175,-6.0875,-11.63,28
2,1925,0,-1.65,-4.175,-8.7,-10.165,28
2,1943,3.215,0.275,-3.75,-7.275,-11.05,28
2,1905,2.2,0.4125,-5.275,-9.175,-14.89,28
2,1990,-0.525001,-2.5,-5.375,-11.5625,-18.375,28
